Journal Title,2022 rating,Publisher,ISSN,ISSN Online,Year Inception,FoR
4OR,B,Springer Nature,1619-4500,1614-2411,2003,3599
AACE International Transactions,B,AACE International,1528-7106,1528-7106,1967,3599
Abacus,A,Wiley-Blackwell Publishing,0001-3072,1467-6281,1965,3501
Academia Economic Papers,C,"Institute of Economics, Academia Sinica",1018-161X,,1973,3801
Academy of Management Annals,A*,Academy of Management,1941-6520,1941-6067,2008,3507
Academy of Management Discoveries,A,Academy of Management,2168-1007,,2015,3507
Academy of Management Journal,A*,Academy of Management,0001-4273,1948-0989,1958,3507
Academy of Management Learning and Education,A*,Academy of Management,1537-260X,1944-9585,2002,3507
Academy of Management Perspectives,A,Academy of Management,1558-9080,1943-4529,1987,3507
Academy of Management Review,A*,Academy of Management,0363-7425,1930-3807,1976,3507
Academy of Marketing Studies Journal,B,Allied Business Academies,1095-6298,1528-2678,1980,3506
Accident Analysis and Prevention,A*,Elsevier,0001-4575,1879-2057,1969,3509
Accountancy Business and the Public Interest,B,Association for Accountancy & Business Affairs,1745-7718,,2002,3501
Accounting Accountability and Performance,C,Griffith University,1445-954X,,1995,3501
Accounting and Business Research,A,Taylor & Francis Online,0001-4788,2159-4260,1970,3501
Accounting and Finance,A,Wiley-Blackwell Publishing,0810-5391,1467-629X,1961,3501
Accounting and Taxation,C,Institute for Business and Finance Research,1944-592X,,2007,3501
Accounting and the Public Interest,B,American Accounting Association,1530-9320,,2001,3501
Accounting Auditing and Accountability Journal,A*,Emerald Group Publishing Limited,0951-3574,1758-4205,1988,3501
Accounting Education,A,Taylor & Francis Online,0963-9284,1468-4489,1992,3501
Accounting Educators Journal,B,Academy of Accounting Educators Inc.,1041-0392,,1988,3501
Accounting Forum,B,Taylor & Francis Online,0155-9982,1467-6303,2004,3501
Accounting Historians Journal,B,American Accounting Association,0148-4184,,1977,3501
Accounting History,A,Sage Publications,1032-3732,1749-3374,1989,3501
Accounting History Review,B,Taylor & Francis Online,2155-2851,2155-286X,2011,3501
Accounting Horizons,A,American Accounting Association,0888-7993,1558-7975,1987,3501
Accounting in Europe,A,Taylor & Francis Online,1744-9480,1744-9499,2004,3501
Accounting Perspectives,B,Wiley-Blackwell Publishing,1911-382X,1911-3838,2002,3501
Accounting Research Journal,B,Emerald Group Publishing Limited,1030-9616,,1986,3501
"Accounting, Economics and Law – A Convivium",B,De Gruyter,2194-6051,2152-2820,2011,3501
"Accounting, Finance and Governance Review",C,Irish Accounting and Finance Association,0791-9638,,1994,3501
"Accounting, Organizations and Society",A*,Elsevier,0361-3682,1873-6289,1976,3501
ACM Transactions on Computer-Human Interaction,A*,Association for Computing Machinery,1073-0516,1557-7325,1994,4609
ACM Transactions on Computing Education,C,The Association for Computing Machinery,1531-4278,1531-4278,2009,4609
ACM Transactions on Information Systems,C,Association for Computing Machinery,1046-8188,1558-2868,1983,4609
ACM Transactions on Modeling and Computer Simulation,B,Association for Computing Machinery,1049-3301,1558-1195,1991,3599
Acta Oeconomica,C,Akademiai Kiado,0001-6373,1588-2659,1951,3899
Acta Psychologica,A,Elsevier,0001-6918,1873-6297,1936,3507
Acta Turistica,C,"University of Zagreb, Faculty of Economics and Business",0353-4316,1848-6061,1989,3508
Acta Universitatis Bohemiae Meridionalis,C,University of South Bohemia Faculty of Economics,1212-3285,2336-4297,1971,3801
Action Learning and Action Research Journal,C,ALARA Association Inc.,1326-964X,1326-964X,1996,3507
Action Learning Research and Practice,C,Taylor and Francis Online,1476-7333,1476-7341,2004,3507
Active Learning in Higher Education,B,Sage Publications,1469-7874,1741-2625,2000,3505
Actuarial Research Clearinghouse,C,SOA Education and Research Section,0732-5428,,2004,3502
Adelaide Law Review,A,University of Adelaide,0065-1915,,1960,4801
Administration and Society,B,Sage Publications,0095-3997,1552-3039,1975,3507
Administrative Science Quarterly,A*,Sage Publications,0001-8392,1930-3815,1956,3507
Administrative Theory and Praxis,B,Taylor & Francis Online,1084-1806,1949-0461,1979,3507
Advances and Applications in Statistics,C,Pushpa Publishing House,0972-3617,,2001,4905
Advances in Accounting,A,Elsevier,0882-6110,1046-5715,1984,3501
Advances in Accounting Behavioral Research,A,Emerald Group Publishing,1475-1488,,1998,3501
Advances in Accounting Education: teaching and curriculum innovations,C,Emerald Group Publishing,1085-4622,,1996,3501
Advances in Applied Probability,A,Applied Probability Trust,0001-8678,1475-6064,1964,4905
Advances in Consumer Research,B,Association for Consumer Research,0098-9258,,1974,3506
Advances in Developing Human Resources,C,Sage Publications,1523-4223,1552-3055,1999,3505
Advances in Environmental Accounting and Management,B,Emerald Group Publishing,1479-3598,,2000,3501
Advances in Experimental Social Psychology,A*,Elsevier,0065-2601,1557-8410,1964,3507
Advances in Hospitality and Leisure,C,Emerald Group Publishing,1745-3542,,2005,3504
Advances in International Management,C,Emerald Group Publishing,1571-5027,,1988,3507
Advances in International Marketing,C,Emerald Group Publishing,1474-7979,,1986,3506
Advances in Management Accounting,A,Emerald Group Publishing,1474-7871,,1990,3501
Advances in Public Interest Accounting,C,Emerald Group Publishing,1041-7060,,1986,3501
Advances in Strategic Management,C,Emerald Group Publishing,0742-3322,,1983,3507
Advances in Taxation,B,Emerald Group Publishing,1058-7497,,1987,4801
Advertising & Society Review,C,Johns Hopkins University Press,2475-1790,1534-7311,2000,3506
Afaq Iqtisadiyyah,C,Federation of UAE Chambers of Commerce and Industry: Centre for Research and Authentication,1024-266X,,1980,3801
Africa Development/Afrique et Developpement,C,Council for the Development of Economic and Social Research in Africa,0850-3907,,1976,3899
